alpha,K24,K70,K160
-3.0,1.0341261633919339,1.0718113612004287,1.0362694300518136
-2.0,1.0416666666666667,1.0893246187363834,1.0427528675703859
-1.0,1.040582726326743,1.0893246187363834,1.0427528675703859
0.0,1.0341261633919339,1.0729613733905579,1.0362694300518136
1.0,1.019367991845056,1.0427528675703859,1.0214504596527068
2.0,0.9990009990009991,0.9990009990009991,1.0
3.0,0.9737098344693282,0.9737098344693282,0.9718172983479106
