band,GALEX_FUV
0.1611,0.2532900047
0.1612,0.2508799934
0.1613,0.2484700012
0.1614,0.246060009
0.1615,0.2436499977
0.1616,0.2412400055
0.1617,0.2388299942
0.1618,0.236420002
0.1619,0.2340099907
0.162,0.2315999985
0.1621,0.2291900063
0.1622,0.226779995
0.1623,0.2243700027
0.1624,0.2219599915
0.1625,0.2195499992
0.1626,0.217140007
0.1627,0.2147299957
0.1628,0.2123200035
0.1629,0.2099099922
0.163,0.2075
0.1631,0.2050900078
0.1632,0.2026799965
0.1633,0.2002700043
0.1634,0.197859993
0.1635,0.1954500008
0.1636,0.1930400085
0.1637,0.1906299973
0.1638,0.188220005
0.1639,0.1858099937
0.164,0.1834000015
0.1641,0.1809900093
0.1642,0.178579998
0.1643,0.1761700058
0.1644,0.1737599945
0.1645,0.1713500023
0.1646,0.168939991
0.1647,0.1665299988
0.1648,0.1641200066
0.1649,0.1617099953
0.165,0.1593000031
0.1651,0.1585540009
0.1652,0.1578079987
0.1653,0.1570619965
0.1654,0.1563160038
0.1655,0.1555700016
0.1656,0.1548239994
0.1657,0.1540779972
0.1658,0.1533320045
0.1659,0.1525860023
0.166,0.1518400002
0.1661,0.151093998
0.1662,0.1503479958
0.1663,0.1496020031
0.1664,0.1488560009
0.1665,0.1481099987
0.1666,0.1473639965
0.1667,0.1466180038
0.1668,0.1458720016
0.1669,0.1451259995
0.167,0.1443799973
0.1671,0.1436340046
0.1672,0.1428880024
0.1673,0.1421420002
0.1674,0.141395998
0.1675,0.1406499958
0.1676,0.1399040031
0.1677,0.1391580009
0.1678,0.1384119987
0.1679,0.1376659966
0.168,0.1369200039
0.1681,0.1361740017
0.1682,0.1354279995
0.1683,0.1346819973
0.1684,0.1339360046
0.1685,0.1331900024
0.1686,0.1324440002
0.1687,0.131697998
0.1688,0.1309519959
0.1689,0.1302060032
0.169,0.129460001
0.1691,0.1287139988
0.1692,0.1279679966
0.1693,0.1272220039
0.1694,0.1264760017
0.1695,0.1257299995
0.1696,0.1249839973
0.1697,0.1242380047
0.1698,0.1234920025
0.1699,0.1227460003
0.17,0.1219999981
0.1701,0.1216699982
0.1702,0.1213399982
0.1703,0.1210099983
0.1704,0.1206799984
0.1705,0.1203499985
0.1706,0.1200199985
0.1707,0.1196899986
0.1708,0.1193599987
0.1709,0.1190299988
0.171,0.1186999989
0.1711,0.1183699989
0.1712,0.118039999
0.1713,0.1177099991
0.1714,0.1173799992
0.1715,0.1170499992
0.1716,0.1167199993
0.1717,0.1163899994
0.1718,0.1160599995
0.1719,0.1157299995
0.172,0.1153999996
0.1721,0.1150699997
0.1722,0.1147399998
0.1723,0.1144099998
0.1724,0.1140799999
0.1725,0.11375
0.1726,0.1134200001
0.1727,0.1130900002
0.1728,0.1127600002
0.1729,0.1124300003
0.173,0.1121000004
0.1731,0.1117700005
0.1732,0.1114400005
0.1733,0.1111100006
0.1734,0.1107800007
0.1735,0.1104500008
0.1736,0.1101200008
0.1737,0.1097900009
0.1738,0.109460001
0.1739,0.1091300011
0.174,0.1088000011
0.1741,0.1084700012
0.1742,0.1081400013
0.1743,0.1078100014
0.1744,0.1074800015
0.1745,0.1071500015
0.1746,0.1068200016
0.1747,0.1064900017
0.1748,0.1061600018
0.1749,0.1058300018
0.175,0.1055000019
0.1751,0.1035960007
0.1752,0.1016919994
0.1753,0.0997879982
0.1754,0.097883997
0.1755,0.0959799957
0.1756,0.094076004
0.1757,0.0921720028
0.1758,0.0902680016
0.1759,0.0883640003
0.176,0.0864599991
0.1761,0.0845559978
0.1762,0.0826519966
0.1763,0.0807479954
0.1764,0.0788439989
0.1765,0.0769399977
0.1766,0.0750360012
0.1767,0.073132
0.1768,0.0712279987
0.1769,0.0693240023
0.177,0.067420001
0.1771,0.0655159998
0.1772,0.0636119986
0.1773,0.0617080021
0.1774,0.0598040009
0.1775,0.0578999996
0.1776,0.0559959984
0.1777,0.0540920019
0.1778,0.0521880007
0.1779,0.0502839994
0.178,0.0483799982
0.1781,0.0464760017
0.1782,0.0445720005
0.1783,0.0426679993
0.1784,0.040763998
0.1785,0.0388599992
0.1786,0.0369560003
0.1787,0.0350519991
0.1788,0.0331480002
0.1789,0.031243999
0.179,0.0293400002
0.1791,0.0274359989
0.1792,0.0255320001
0.1793,0.0236279988
0.1794,0.021724
0.1795,0.0198199999
0.1796,0.0179159999
0.1797,0.0160119998
0.1798,0.0141079998
0.1799,0.0122039998
0.18,0.0102999997
0.1801,0.0092699999
0.1802,0.00824
0.1803,0.0072100002
0.1804,0.0061799997
0.1805,0.0051499999
0.1806,0.00412
0.1807,0.0030899999
0.1808,0.00206
0.1809,0.00103
0.181,0.0
band,UVOT_UVW2
0.159,0.0
0.16,0.010087
0.161,0.025281
0.162,0.041195
0.163,0.0634
0.164,0.086443
0.165,0.107878
0.166,0.129915
0.167,0.14436
0.168,0.159239
0.169,0.168892
0.17,0.178851
0.171,0.181128
0.172,0.183002
0.173,0.194341
0.174,0.205404
0.175,0.213489
0.176,0.221485
0.177,0.224778
0.178,0.228377
0.179,0.231661
0.18,0.235417
0.181,0.238701
0.182,0.241777
0.183,0.245396
0.184,0.248442
0.185,0.251154
0.186,0.25634
0.187,0.259772
0.188,0.264386
0.189,0.26553
0.19,0.267817
0.191,0.264662
0.192,0.26267
0.193,0.260265
0.194,0.257169
0.195,0.254575
0.196,0.252958
0.197,0.250986
0.198,0.249448
0.199,0.24722
0.2,0.245258
0.201,0.240249
0.202,0.235023
0.203,0.229955
0.204,0.224335
0.205,0.219129
0.206,0.213508
0.207,0.207563
0.208,0.201745
0.209,0.195662
0.21,0.189628
0.211,0.185831
0.212,0.181651
0.213,0.177588
0.214,0.173043
0.215,0.168902
0.216,0.164494
0.217,0.160215
0.218,0.155611
0.219,0.151676
0.22,0.1472
0.221,0.140416
0.222,0.133692
0.223,0.127263
0.224,0.121012
0.225,0.116713
0.226,0.112493
0.227,0.108352
0.228,0.104388
0.229,0.100385
0.23,0.096658
0.231,0.093049
0.232,0.089549
0.233,0.086097
0.234,0.083189
0.235,0.080467
0.236,0.077914
0.237,0.07537
0.238,0.072934
0.239,0.070499
0.24,0.06831
0.241,0.066042
0.242,0.063843
0.243,0.061724
0.244,0.059663
0.245,0.057139
0.246,0.054684
0.247,0.052347
0.248,0.050069
0.249,0.047979
0.25,0.046174
0.251,0.044291
0.252,0.042457
0.253,0.040751
0.254,0.039036
0.255,0.037744
0.256,0.036482
0.257,0.035319
0.258,0.034185
0.259,0.0331
0.26,0.032055
0.261,0.031759
0.262,0.031453
0.263,0.031138
0.264,0.030822
0.265,0.030507
0.266,0.030172
0.267,0.029836
0.268,0.029481
0.269,0.029126
0.27,0.028752
0.271,0.028367
0.272,0.027983
0.273,0.027578
0.274,0.027164
0.275,0.02674
0.276,0.026287
0.277,0.025833
0.278,0.02538
0.279,0.024897
0.28,0.024384
0.281,0.023881
0.282,0.023358
0.283,0.022796
0.284,0.022234
0.285,0.021682
0.286,0.0211
0.287,0.020519
0.288,0.019947
0.289,0.019355
0.29,0.018773
0.291,0.018192
0.292,0.01759
0.293,0.017028
0.294,0.016446
0.295,0.015875
0.296,0.015332
0.297,0.01477
0.298,0.014208
0.299,0.013696
0.3,0.013193
0.301,0.0127
0.302,0.012226
0.303,0.011773
0.304,0.011339
0.305,0.010895
0.306,0.010491
0.307,0.010087
0.308,0.009702
0.309,0.009328
0.31,0.008973
0.311,0.008618
0.312,0.008292
0.313,0.007957
0.314,0.007651
0.315,0.007346
0.316,0.00706
0.317,0.006774
0.318,0.006498
0.319,0.006232
0.32,0.005975
0.321,0.005729
0.322,0.005482
0.323,0.005246
0.324,0.005019
0.325,0.004802
0.326,0.004585
0.327,0.004378
0.328,0.004181
0.329,0.003983
0.33,0.003796
0.331,0.003619
0.332,0.003451
0.333,0.003283
0.334,0.003116
0.335,0.002968
0.336,0.00282
0.337,0.002672
0.338,0.002534
0.339,0.002406
0.34,0.002278
0.341,0.002159
0.342,0.002041
0.343,0.001933
0.344,0.001834
0.345,0.001726
0.346,0.001637
0.347,0.001548
0.348,0.001459
0.349,0.00138
0.35,0.001302
0.351,0.001233
0.352,0.001163
0.353,0.001104
0.354,0.001045
0.355,0.000986
0.356,0.000937
0.357,0.000887
0.358,0.000848
0.359,0.000799
0.36,0.000769
0.361,0.00073
0.362,0.0007
0.363,0.00067
0.364,0.000651
0.365,0.000631
0.366,0.000611
0.367,0.000592
0.368,0.000582
0.369,0.000572
0.37,0.000562
0.371,0.000552
0.372,0.000552
0.373,0.000542
0.374,0.000542
0.375,0.000542
0.376,0.000552
0.377,0.000552
0.378,0.000562
0.379,0.000562
0.38,0.000572
0.381,0.000582
0.382,0.000592
0.383,0.000611
0.384,0.000621
0.385,0.000631
0.386,0.000651
0.387,0.000661
0.388,0.00067
0.389,0.00069
0.39,0.00071
0.391,0.00072
0.392,0.00074
0.393,0.000749
0.394,0.000769
0.395,0.000779
0.396,0.000789
0.397,0.000809
0.398,0.000818
0.399,0.000828
0.4,0.000848
0.401,0.000858
0.402,0.000858
0.403,0.000868
0.404,0.000878
0.405,0.000887
0.406,0.000887
0.407,0.000897
0.408,0.000897
0.409,0.000897
0.41,0.000897
0.411,0.000907
0.412,0.000907
0.413,0.000907
0.414,0.000907
0.415,0.000897
0.416,0.000897
0.417,0.000897
0.418,0.000897
0.419,0.000887
0.42,0.000887
0.421,0.000878
0.422,0.000878
0.423,0.000868
0.424,0.000858
0.425,0.000858
0.426,0.000848
0.427,0.000838
0.428,0.000828
0.429,0.000818
0.43,0.000809
0.431,0.000799
0.432,0.000789
0.433,0.000779
0.434,0.000769
0.435,0.000759
0.436,0.000749
0.437,0.00074
0.438,0.00073
0.439,0.00072
0.44,0.00071
0.441,0.0007
0.442,0.00069
0.443,0.00068
0.444,0.00067
0.445,0.000651
0.446,0.000641
0.447,0.000631
0.448,0.000621
0.449,0.000611
0.45,0.000601
0.451,0.000592
0.452,0.000582
0.453,0.000572
0.454,0.000562
0.455,0.000552
0.456,0.000542
0.457,0.000532
0.458,0.000523
0.459,0.000513
0.46,0.000503
0.461,0.000503
0.462,0.000493
0.463,0.000483
0.464,0.000473
0.465,0.000463
0.466,0.000454
0.467,0.000454
0.468,0.000444
0.469,0.000434
0.47,0.000424
0.471,0.000424
0.472,0.000414
0.473,0.000404
0.474,0.000404
0.475,0.000394
0.476,0.000385
0.477,0.000385
0.478,0.000375
0.479,0.000365
0.48,0.000365
0.481,0.000355
0.482,0.000345
0.483,0.000345
0.484,0.000335
0.485,0.000335
0.486,0.000325
0.487,0.000325
0.488,0.000316
0.489,0.000316
0.49,0.000306
0.491,0.000306
0.492,0.000296
0.493,0.000296
0.494,0.000286
0.495,0.000286
0.496,0.000276
0.497,0.000276
0.498,0.000276
0.499,0.000266
0.5,0.000266
0.501,0.000256
0.502,0.000256
0.503,0.000256
0.504,0.000246
0.505,0.000246
0.506,0.000246
0.507,0.000237
0.508,0.000237
0.509,0.000237
0.51,0.000227
0.511,0.000227
0.512,0.000227
0.513,0.000227
0.514,0.000217
0.515,0.000217
0.516,0.000217
0.517,0.000207
0.518,0.000207
0.519,0.000207
0.52,0.000207
0.521,0.0
band,UVOT_UVM2
0.16,0.0
0.161,0.000221
0.162,0.000377
0.163,0.000624
0.164,0.000883
0.165,0.001169
0.166,0.001491
0.167,0.001794
0.168,0.002066
0.169,0.002338
0.17,0.002671
0.171,0.002902
0.172,0.003134
0.173,0.003578
0.174,0.004102
0.175,0.004636
0.176,0.0052
0.177,0.005785
0.178,0.006369
0.179,0.007085
0.18,0.007871
0.181,0.008768
0.182,0.009725
0.183,0.010884
0.184,0.012194
0.185,0.013504
0.186,0.015217
0.187,0.017132
0.188,0.018039
0.189,0.020861
0.19,0.024993
0.191,0.028721
0.192,0.033962
0.193,0.039605
0.194,0.046861
0.195,0.055427
0.196,0.065203
0.197,0.07659
0.198,0.089288
0.199,0.102793
0.2,0.117909
0.201,0.132018
0.202,0.146127
0.203,0.159228
0.204,0.170313
0.205,0.179383
0.206,0.187445
0.207,0.192484
0.208,0.197523
0.209,0.199538
0.21,0.200546
0.211,0.202562
0.212,0.204577
0.213,0.204577
0.214,0.204577
0.215,0.204577
0.216,0.204577
0.217,0.204577
0.218,0.20357
0.219,0.20357
0.22,0.20357
0.221,0.198531
0.222,0.195507
0.223,0.191476
0.224,0.186437
0.225,0.18543
0.226,0.183414
0.227,0.182406
0.228,0.179383
0.229,0.177368
0.23,0.175352
0.231,0.173336
0.232,0.170313
0.233,0.168298
0.234,0.165274
0.235,0.163259
0.236,0.161243
0.237,0.159228
0.238,0.156204
0.239,0.154189
0.24,0.151165
0.241,0.14915
0.242,0.145119
0.243,0.141088
0.244,0.138064
0.245,0.133026
0.246,0.126979
0.247,0.120932
0.248,0.114886
0.249,0.108839
0.25,0.1038
0.251,0.097451
0.252,0.091002
0.253,0.084653
0.254,0.078505
0.255,0.073063
0.256,0.067621
0.257,0.06228
0.258,0.057241
0.259,0.052404
0.26,0.047869
0.261,0.043536
0.262,0.039605
0.263,0.035877
0.264,0.032349
0.265,0.029225
0.266,0.026303
0.267,0.023683
0.268,0.021465
0.269,0.019349
0.27,0.017434
0.271,0.01562
0.272,0.014109
0.273,0.012799
0.274,0.011489
0.275,0.01038
0.276,0.009372
0.277,0.008445
0.278,0.007649
0.279,0.006903
0.28,0.006288
0.281,0.005684
0.282,0.00519
0.283,0.004706
0.284,0.004273
0.285,0.00391
0.286,0.003608
0.287,0.003305
0.288,0.003003
0.289,0.002761
0.29,0.00258
0.291,0.002338
0.292,0.002167
0.293,0.001985
0.294,0.001864
0.295,0.001683
0.296,0.001562
0.297,0.001451
0.298,0.001381
0.299,0.00127
0.3,0.001149
0.301,0.001088
0.302,0.001028
0.303,0.000972
0.304,0.000914
0.305,0.000845
0.306,0.000776
0.307,0.000709
0.308,0.000645
0.309,0.000581
0.31,0.000572
0.311,0.000512
0.312,0.000503
0.313,0.000444
0.314,0.000436
0.315,0.00039
0.316,0.000392
0.317,0.000345
0.318,0.000347
0.319,0.000299
0.32,0.0003
0.321,0.000285
0.322,0.00027
0.323,0.000255
0.324,0.000246
0.325,0.0
band,GALEX_NUV
0.169,0.0
0.1691,0.00245
0.1692,0.0049000001
0.1693,0.0073500001
0.1694,0.0098000002
0.1695,0.0122500002
0.1696,0.0147000003
0.1697,0.0171500003
0.1698,0.0196000004
0.1699,0.0220499992
0.17,0.0245000005
0.1701,0.0246760011
0.1702,0.0248519993
0.1703,0.0250279999
0.1704,0.0252040005
0.1705,0.0253800011
0.1706,0.0255559993
0.1707,0.0257319999
0.1708,0.0259080005
0.1709,0.0260840011
0.171,0.0262599993
0.1711,0.0264359999
0.1712,0.0266120005
0.1713,0.0267880011
0.1714,0.0269639993
0.1715,0.0271399999
0.1716,0.0273160005
0.1717,0.0274920011
0.1718,0.0276679993
0.1719,0.0278439999
0.172,0.0280200005
0.1721,0.0281960011
0.1722,0.0283719993
0.1723,0.0285479999
0.1724,0.0287240005
0.1725,0.028900001
0.1726,0.0290759993
0.1727,0.0292519999
0.1728,0.0294280004
0.1729,0.029604001
0.173,0.0297799993
0.1731,0.0299559999
0.1732,0.0301320004
0.1733,0.030308001
0.1734,0.0304839993
0.1735,0.0306599998
0.1736,0.0308360004
0.1737,0.031012001
0.1738,0.0311879992
0.1739,0.0313639998
0.174,0.0315400004
0.1741,0.031716001
0.1742,0.0318919992
0.1743,0.0320679998
0.1744,0.0322440004
0.1745,0.032420001
0.1746,0.0325959992
0.1747,0.0327719998
0.1748,0.0329480004
0.1749,0.033124001
0.175,0.0332999992
0.1751,0.0346720004
0.1752,0.0360439992
0.1753,0.0374160004
0.1754,0.0387879992
0.1755,0.0401599979
0.1756,0.0415320015
0.1757,0.0429040003
0.1758,0.0442759991
0.1759,0.0456479979
0.176,0.0470200014
0.1761,0.0483920002
0.1762,0.049763999
0.1763,0.0511359978
0.1764,0.0525080013
0.1765,0.0538800001
0.1766,0.0552519989
0.1767,0.0566239977
0.1768,0.0579960012
0.1769,0.059368
0.177,0.0607399988
0.1771,0.0621120024
0.1772,0.0634840012
0.1773,0.0648559999
0.1774,0.0662279987
0.1775,0.0676000023
0.1776,0.0689720011
0.1777,0.0703439999
0.1778,0.0717159987
0.1779,0.0730880022
0.178,0.074460001
0.1781,0.0758319998
0.1782,0.0772039986
0.1783,0.0785760021
0.1784,0.0799480009
0.1785,0.0813199997
0.1786,0.0826920032
0.1787,0.0840639973
0.1788,0.0854360008
0.1789,0.0868080044
0.179,0.0881799984
0.1791,0.089552002
0.1792,0.090923996
0.1793,0.0922959995
0.1794,0.0936680031
0.1795,0.0950399971
0.1796,0.0964120007
0.1797,0.0977840042
0.1798,0.0991559982
0.1799,0.1005280018
0.18,0.1018999958
0.1801,0.103380003
0.1802,0.1048600006
0.1803,0.1063399982
0.1804,0.1078199959
0.1805,0.1093000031
0.1806,0.1107800007
0.1807,0.1122599983
0.1808,0.113739996
0.1809,0.1152200031
0.181,0.1167000008
0.1811,0.1181799984
0.1812,0.119659996
0.1813,0.1211400032
0.1814,0.1226200008
0.1815,0.1240999985
0.1816,0.1255799961
0.1817,0.1270600033
0.1818,0.1285400009
0.1819,0.1300199985
0.182,0.1314999962
0.1821,0.1329800034
0.1822,0.134460001
0.1823,0.1359399986
0.1824,0.1374199963
0.1825,0.1389000034
0.1826,0.1403800011
0.1827,0.1418599987
0.1828,0.1433399963
0.1829,0.1448200035
0.183,0.1463000011
0.1831,0.1477799988
0.1832,0.1492599964
0.1833,0.1507400036
0.1834,0.1522200012
0.1835,0.1536999989
0.1836,0.1551799965
0.1837,0.1566600037
0.1838,0.1581400013
0.1839,0.1596199989
0.184,0.1611000061
0.1841,0.1625799942
0.1842,0.1640600014
0.1843,0.1655400085
0.1844,0.1670199966
0.1845,0.1685000038
0.1846,0.1699799919
0.1847,0.1714599991
0.1848,0.1729400063
0.1849,0.1744199944
0.185,0.1759000015
0.1851,0.1777199936
0.1852,0.1795400047
0.1853,0.1813599968
0.1854,0.1831800079
0.1855,0.185
0.1856,0.1868199921
0.1857,0.1886400032
0.1858,0.1904599953
0.1859,0.1922800064
0.186,0.1940999985
0.1861,0.1959199905
0.1862,0.1977400017
0.1863,0.1995599937
0.1864,0.2013800049
0.1865,0.2031999969
0.1866,0.2050200081
0.1867,0.2068400002
0.1868,0.2086599922
0.1869,0.2104800034
0.187,0.2122999954
0.1871,0.2141200066
0.1872,0.2159399986
0.1873,0.2177599907
0.1874,0.2195800018
0.1875,0.2213999939
0.1876,0.223220005
0.1877,0.2250399971
0.1878,0.2268600082
0.1879,0.2286800003
0.188,0.2304999924
0.1881,0.2323200035
0.1882,0.2341399956
0.1883,0.2359600067
0.1884,0.2377799988
0.1885,0.2395999908
0.1886,0.241420002
0.1887,0.243239994
0.1888,0.2450600052
0.1889,0.2468799973
0.189,0.2487000084
0.1891,0.2505200005
0.1892,0.2523399925
0.1893,0.2541600037
0.1894,0.2559799957
0.1895,0.2578000069
0.1896,0.2596199989
0.1897,0.261439991
0.1898,0.2632600021
0.1899,0.2650799942
0.19,0.2669000053
0.1901,0.2682360077
0.1902,0.269571991
0.1903,0.2709079933
0.1904,0.2722439957
0.1905,0.273579998
0.1906,0.2749160004
0.1907,0.2762520027
0.1908,0.2775880051
0.1909,0.2789240074
0.191,0.2802599907
0.1911,0.281595993
0.1912,0.2829319954
0.1913,0.2842679977
0.1914,0.2856040001
0.1915,0.2869400024
0.1916,0.2882760048
0.1917,0.2896120071
0.1918,0.2909480095
0.1919,0.2922839928
0.192,0.2936199951
0.1921,0.2949559975
0.1922,0.2962919998
0.1923,0.2976280022
0.1924,0.2989640045
0.1925,0.3003000069
0.1926,0.3016360092
0.1927,0.3029719925
0.1928,0.3043079948
0.1929,0.3056439972
0.193,0.3069799995
0.1931,0.3083160019
0.1932,0.3096520042
0.1933,0.3109880066
0.1934,0.3123240089
0.1935,0.3136599922
0.1936,0.3149959946
0.1937,0.3163319969
0.1938,0.3176679993
0.1939,0.3190040016
0.194,0.320340004
0.1941,0.3216759872
0.1942,0.3230120087
0.1943,0.3243479919
0.1944,0.3256840134
0.1945,0.3270199966
0.1946,0.3283560181
0.1947,0.3296920013
0.1948,0.3310279846
0.1949,0.332364006
0.195,0.3336999893
0.1951,0.336012001
0.1952,0.3383240128
0.1953,0.3406359863
0.1954,0.342947998
0.1955,0.3452600098
0.1956,0.3475719833
0.1957,0.3498839951
0.1958,0.3521960068
0.1959,0.3545080185
0.196,0.3568199921
0.1961,0.3591320038
0.1962,0.3614440155
0.1963,0.3637559891
0.1964,0.3660680008
0.1965,0.3683800125
0.1966,0.3706919861
0.1967,0.3730039978
0.1968,0.3753160095
0.1969,0.3776279831
0.197,0.3799399948
0.1971,0.3822520065
0.1972,0.3845640183
0.1973,0.3868759918
0.1974,0.3891880035
0.1975,0.3915000153
0.1976,0.3938119888
0.1977,0.3961240005
0.1978,0.3984360123
0.1979,0.4007479858
0.198,0.4030599976
0.1981,0.4053720093
0.1982,0.4076839828
0.1983,0.4099959946
0.1984,0.4123080063
0.1985,0.414620018
0.1986,0.4169319916
0.1987,0.4192440033
0.1988,0.421556015
0.1989,0.4238679886
0.199,0.4261800003
0.1991,0.428492012
0.1992,0.4308039856
0.1993,0.4331159973
0.1994,0.435428009
0.1995,0.4377399826
0.1996,0.4400519943
0.1997,0.442364006
