alpha,K250,K350,K500
-4.0,0.9303,0.9306,0.8562
-3.5,0.9478,0.9463,0.8864
-3.0,0.9626,0.9605,0.9144
-2.5,0.9751,0.9731,0.9401
-2.0,0.9855,0.9839,0.9631
-1.5,0.9938,0.9929,0.9832
-1.0,1.0,1.0,1.0
-0.5,1.0041,1.0051,1.0134
0.0,1.0061,1.0081,1.0232
0.5,1.0059,1.009,1.0293
1.0,1.0036,1.0078,1.0316
1.5,0.999,1.0045,1.0302
2.0,0.9924,0.9991,1.0249
2.5,0.9836,0.9916,1.0161
3.0,0.9727,0.9821,1.0037
3.5,0.9598,0.9706,0.988
4.0,0.9451,0.9572,0.9692
