alpha,K70,K100,K160
-3.0,1.04,1.04,1.06
-2.0,1.02,1.01,1.02
-1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0
1.0,1.0,1.01,1.03
2.0,1.02,1.03,1.08
3.0,1.04,1.07,1.14
