alpha,K12,K25,K60,K100
-3.0,0.91,0.89,1.02,1.02
-2.5,0.92,0.91,1.0,1.01
-2.0,0.94,0.93,0.99,1.0
-1.5,0.97,0.96,0.99,1.0
-1.0,1.0,1.0,1.0,1.0
-0.5,1.04,1.04,1.02,1.0
0.0,1.1,1.1,1.05,1.01
0.5,1.17,1.16,1.09,1.02
1.0,1.25,1.23,1.15,1.04
1.5,1.35,1.32,1.23,1.06
2.0,1.47,1.41,1.32,1.09
2.5,1.61,1.53,1.44,1.12
3.0,1.78,1.67,1.59,1.16
